Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
Burma Superstar,eYXwVR4mMAjzkJnm5wneHQ,4.0,6286,2,San Francisco,CA,94118,Burmese
San Tung,M0JTO3oyu6gxh1mfFjU-dA,4.0,6234,2,San Francisco,CA,94122,Chinese
B Patisserie,2XQm-uFcTS7oc8MFP-8olA,4.5,2126,2,San Francisco,CA,94115,Bakeries
Zazie,gqVl3RprESEqkIPeJH0yOg,4.0,4043,2,San Francisco,CA,94117,Breakfast & Brunch
Fog Harbor Fish House,f-m7-hyFzkf0HSEeQ2s-9A,4.0,4627,2,San Francisco,CA,94133,Seafood
Little Star Pizza,__I9HmtBMV4dDkEgT22V4g,4.5,2762,2,San Francisco,CA,94117,Pizza
Sotto Mare Oysteria & Seafood,8dUaybEPHsZMgr1iKgqgMQ,4.5,3223,2,San Francisco,CA,94133,Seafood
Tony's Pizza Napoletana,mSMZJj2pFvttWLpcDmgrEA,4.0,4289,2,San Francisco,CA,94133,Pizza
Mama's On Washington Square,MvAo0hj9FXOeNL5PwBZ0fQ,4.0,3949,2,San Francisco,CA,94133,Breakfast & Brunch
Sweet Maple,-DrR38H1Abk0wCyu9XOLug,4.0,3062,2,San Francisco,CA,94115,American (Traditional)
Dottie's True Blue Cafe,uEeWn6sPq-giWvfE9uhQ7A,4.0,4103,2,San Francisco,CA,94103,American (Traditional)
Suppenküche,DGyoVB9PdI9_jw0CNi_OPg,4.0,3000,2,San Francisco,CA,94102,German
Beretta,4KfQnlcSu4bbTqnvGdGptw,4.0,3333,2,San Francisco,CA,94110,Italian
Schubert's Bakery,DyXoC_NhJW0Xx5j_OPQRHQ,4.5,1572,2,San Francisco,CA,94118,Bakeries
HRD,bUr4iq2mKKiBOu2HKynylg,4.0,2362,2,San Francisco,CA,94107,Korean
Swan Oyster Depot,eI0DpD2Xx8hFlk7eAdFCqQ,4.0,2525,2,San Francisco,CA,94109,Seafood
Kitchen Story,XQLmEdXoMzOpffwoFaBtaQ,4.0,2664,2,San Francisco,CA,94114,Breakfast & Brunch
Mission Beach Cafe,_2EHMIdoYeWgsuAiWydjYQ,4.0,2579,2,San Francisco,CA,94103,Coffee & Tea
Plow,A0AziPST4T6k-V3neWFRNA,4.0,2303,2,San Francisco,CA,94107,Breakfast & Brunch
Chez Maman East,UTVDbZv-qiHU06sDkoel3g,4.5,1937,2,San Francisco,CA,94107,French
Limón Rotisserie,r7RwvYMwxDuK3u26fHbYDA,4.0,2989,2,San Francisco,CA,94110,Latin American
Marufuku Ramen SF,HHtpR0RslupSQ99GIIwW5A,4.5,1524,2,San Francisco,CA,94115,Ramen
Tropisueño,_EncdQezAzcShATMFXL0dA,4.0,3932,2,San Francisco,CA,94103,Mexican
Hollywood Cafe,vVN_oVe6jvr4PCmXg_m9CA,4.5,1874,2,San Francisco,CA,94133,Breakfast & Brunch
Arsicault Bakery,1U9_ZNruMLf4EL0pMoxb_w,4.5,868,2,San Francisco,CA,94118,Bakeries
Mr Holmes Bakehouse,9lX1QuC6GBj7WyKImHkRRw,4.0,1928,2,San Francisco,CA,94109,Bakeries
Loló,1hMD7RQogPDWpE-p3LKjXA,4.0,1892,2,San Francisco,CA,94110,Tapas/Small Plates
Pearl's Deluxe Burgers,TRBP1G1l8vZkjgfqdx96Cw,4.0,2067,2,San Francisco,CA,94109,Burgers
Shizen Vegan Sushi Bar & Izakaya,CYttYTEiQuhSfo3SEh79fA,4.5,1183,2,San Francisco,CA,94103,Sushi Bars
Zanze's Cheesecake,8oT00ympYI-mQ8KEetQ63g,4.5,880,2,San Francisco,CA,94127,Bakeries
Zero Zero,8skVQNkVBv90iiPtFeSpzw,4.0,3037,2,San Francisco,CA,94107,Pizza
Marlowe,c0WpyZFR3EoEBKcoY2LZ3Q,4.0,2515,2,San Francisco,CA,94107,American (New)
Pizzeria Delfina - San Francisco,bai6umLcCNy9cXql0Js2RQ,4.0,2229,2,San Francisco,CA,94110,Pizza
Super Duper Burgers,zjlwTVZOyCU8OzzUPEavQQ,4.0,2558,2,San Francisco,CA,94103,Burgers
Cha Cha Cha,kOYj2sGMZnyC1lU-_Uw5fA,4.0,3098,2,San Francisco,CA,94117,Caribbean
Woodhouse Fish Company,PFk6k_hEGG0n6_FAJSm9EQ,4.0,2068,2,San Francisco,CA,94115,Seafood
Lers Ros,WFgRFq_KxIs2fkYo1iD6Tg,4.0,2075,2,San Francisco,CA,94109,Thai
È Tutto Qua,F6SOy6-3tP4i-ipACZUS0g,4.0,1954,2,San Francisco,CA,94133,Italian
Don Pisto's,voFE8DTKsTFi1Vzm_zzd0Q,4.0,1701,2,San Francisco,CA,94133,Mexican
Chantal Guillon Macarons,TfvirefqknwFZGCGYvHFgw,4.5,990,2,San Francisco,CA,94102,Desserts
Mandalay,IPpQnGDJVApDEM5A93txtw,4.0,1966,2,San Francisco,CA,94118,Burmese
Garaje,tnhfDv5Il8EaGSXZGiuQGg,4.5,1398,2,San Francisco,CA,94107,Mexican
R&G Lounge,ka1_lat2boQwLMsOCiwGiA,3.5,4097,2,San Francisco,CA,94108,Chinese
PPQ Dungeness Island,-4wz0dOG3RdBNYE02l9KjA,4.0,2842,2,San Francisco,CA,94121,Seafood
House of Prime Rib,oT08T3Vpn1I7jDmrBBRMTw,4.0,6546,3,San Francisco,CA,94109,American (Traditional)
The House,ZoZjbOYR-apY8XvommlNUA,4.5,4403,3,San Francisco,CA,94133,Asian Fusion
Kokkari Estiatorio,PsY5DMHxa5iNX_nX0T-qPA,4.5,4168,3,San Francisco,CA,94111,Greek
Nopa,ttarnopezxmp2ROB1N2PaA,4.0,4806,3,San Francisco,CA,94117,American (New)
